Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
"Gwinnett, GA",US,03/23/2020,,,,33.9191,-84.0167
"DeKalb, GA",US,03/23/2020,,,,33.7956,-84.2279
"Floyd, GA",US,03/23/2020,,,,37.5455,-82.7779
"Fayette, GA",US,03/23/2020,,,,33.4502,-84.4803
"Gregg, TX",US,03/23/2020,,,,32.4893,-94.8521
"Monmouth, NJ",US,03/23/2020,,,,40.2589,-74.124
"Burlington, NJ",US,03/23/2020,,,,40.0712,-74.8649
"Camden, NJ",US,03/23/2020,,,,39.9259,-75.1196
"Passaic, NJ",US,03/23/2020,,,,40.8568,-74.1285
"Union, NJ",US,03/23/2020,,,,40.6976,-74.2632
"Eagle, CO",US,03/23/2020,,,,39.6553,-106.8287
"Larimer, CO",US,03/23/2020,,,,40.6956,-105.5943
"Arapahoe, CO",US,03/23/2020,,,,39.6203,-104.3326
"Gunnison, CO",US,03/23/2020,,,,38.5458,-106.9253
"Kane, IL",US,03/23/2020,,,,41.9879,-88.4016
"Monroe, PA",US,03/23/2020,,,,41.0458,-75.2479
"Philadelphia, PA",US,03/23/2020,,,,39.9526,-75.1652
"Norfolk, VA",US,03/23/2020,,,,36.8508,-76.2859
"Arlington, VA",US,03/23/2020,,,,38.8816,-77.091
"Spotsylvania, VA",US,03/23/2020,,,,38.2042,-77.6078
"Loudoun, VA",US,03/23/2020,,,,39.0768,-77.6536
"Prince George's, MD",US,03/23/2020,,,,38.7849,-76.8721
"Pottawattamie, IA",US,03/23/2020,,,,41.3912,-95.4778
"Camden, NC",US,03/23/2020,,,,34.2465,-80.607
"Pima, AZ",US,03/23/2020,,,,32.0575,-111.6661
"Noble, IN",US,03/23/2020,,,,41.4277,-85.355
"Adams, IN",US,03/23/2020,,,,39.8522,-77.2865
"Boone, IN",US,03/23/2020,,,,40.0106,-86.4997
"Dane, WI",US,03/23/2020,,,,43.0186,-89.5498
"Pierce, WI",US,03/23/2020,,,,44.7509,-92.3814
"Cuyahoga, OH",US,03/23/2020,,,,41.4339,-81.6758
"Weber, UT",US,03/23/2020,,,,41.2603,-111.9522
"Bennington County, VT",US,03/23/2020,,,,43.0279,-73.135
"Carver County, MN",US,03/23/2020,,,,44.8254,-93.7842
"Charlotte County, FL",US,03/23/2020,,,,26.8946,-81.9098
"Cherokee County, GA",US,03/23/2020,,,,34.2515,-84.4803
"Collin County, TX",US,03/23/2020,,,,33.1795,-96.493
"Jefferson County, KY",US,03/23/2020,,,,38.1938,-85.6435
"Jefferson Parish, LA",US,03/23/2020,,,,29.6499,-90.1121
"Shasta County, CA",US,03/23/2020,,,,40.7909,-121.8474
"Spartanburg County, SC",US,03/23/2020,,,,34.8606,-81.9535
"Harrison County, KY",US,03/23/2020,,,,38.4333,-84.3542
"Johnson County, IA",US,03/23/2020,,,,41.6699,-91.5984
"Berkshire County, MA",US,03/23/2020,,,,42.3118,-73.1822
"Davidson County, TN",US,03/23/2020,,,,36.1343,-86.822
"Douglas County, OR",US,03/23/2020,,,,43.1261,-123.2492
"Fresno County, CA",US,03/23/2020,,,,36.9859,-119.2321
